Server Patch Management Report
Generated:,2026-03-09 15:22:16

Executive Summary
Total Servers Scanned,116
Servers Needing Updates,28
Total Updates Available,297
Servers Up to Date,88

Server Status Overview
Server Name,IP Address,OS Type,Patches,Status,Reboot Required
Uber_Swag_DEV_QA_UAT_Lapine,34.214.154.3,Amazon Linux 2023,0,Up to Date,No
Viatris_Spark_PROD_Lapine,52.12.226.226,Amazon Linux 2023,0,Up to Date,No
Vendor_Portal_PROD_Lapine,44.240.218.169,Amazon Linux 2,0,Up to Date,No
Viatris_Spark_DEV_QA_UAT_PREPROD_Lapine,44.235.230.113,Amazon Linux 2023,0,Up to Date,No
VMMT_PROD_adm,54.218.160.215,Amazon Linux 2023,0,Up to Date,No
SS_Connector_PREPROD_Lapine,52.32.222.197,Ubuntu 22.04,1,1 Updates,Yes

Detailed Patch Information

Server: adm_Brief_Integration_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: adm_Brief_Integration_PREPROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: adm_Spark_Integration_DEV_QA_UAT_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: adm_Brief_Integration_DEV_QA_UAT_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Captain_Morgan_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Customer_Portal_PROD_Lapine
Package/Update
MariaDB-server.x86_64           10.6.19-1.el7.centos                  mariadb
ec2-hibinit-agent.noarch        1.0.10-2.amzn2                        amzn2-core
libpng.x86_64                   2:1.5.13-8.amzn2.0.7                  amzn2-core
libxml2.x86_64                  2.9.1-6.amzn2.5.24                    amzn2-core
libxml2-python.x86_64           2.9.1-6.amzn2.5.24                    amzn2-core
python.x86_64                   2.7.18-1.amzn2.0.16                   amzn2-core
python-devel.x86_64             2.7.18-1.amzn2.0.16                   amzn2-core
python-libs.x86_64              2.7.18-1.amzn2.0.16                   amzn2-core
python-pillow.x86_64            2.0.0-23.gitd1c6db8.amzn2.0.17        amzn2-core
python3.x86_64                  3.7.16-1.amzn2.0.23                   amzn2-core
python3-libs.x86_64             3.7.16-1.amzn2.0.23                   amzn2-core

Server: Crown_Royal_Canada_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Crown_Royal_USA_PROD_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: CRM_Shopify_Connector_DEV_QA_UAT_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
kernel.x86_64             5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-headers.x86_64     5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
kernel-tools.x86_64       5.10.251-248.983.amzn2          amzn2extra-kernel-5.10
libpng.x86_64             2:1.5.13-8.amzn2.0.7            amzn2-core
libxml2.x86_64            2.9.1-6.amzn2.5.24              amzn2-core
libxml2-devel.x86_64      2.9.1-6.amzn2.5.24              amzn2-core
libxml2-python.x86_64     2.9.1-6.amzn2.5.24              amzn2-core
python.x86_64             2.7.18-1.amzn2.0.16             amzn2-core
python-devel.x86_64       2.7.18-1.amzn2.0.16             amzn2-core
python-libs.x86_64        2.7.18-1.amzn2.0.16             amzn2-core
python-pillow.x86_64      2.0.0-23.gitd1c6db8.amzn2.0.17  amzn2-core
python3.x86_64            3.7.16-1.amzn2.0.23             amzn2-core
python3-libs.x86_64       3.7.16-1.amzn2.0.23             amzn2-core

Server: Customer_Vendor_Portal_DEV_QA_UAT_Lapine_Old
Package/Update
MariaDB-server.x86_64           10.6.19-1.el7.centos                  mariadb
ec2-hibinit-agent.noarch        1.0.10-2.amzn2                        amzn2-core
libpng.x86_64                   2:1.5.13-8.amzn2.0.7                  amzn2-core
libxml2.x86_64                  2.9.1-6.amzn2.5.24                    amzn2-core
libxml2-python.x86_64           2.9.1-6.amzn2.5.24                    amzn2-core
python.x86_64                   2.7.18-1.amzn2.0.16                   amzn2-core
python-devel.x86_64             2.7.18-1.amzn2.0.16                   amzn2-core
python-libs.x86_64              2.7.18-1.amzn2.0.16                   amzn2-core
python-pillow.x86_64            2.0.0-23.gitd1c6db8.amzn2.0.17        amzn2-core
python3.x86_64                  3.7.16-1.amzn2.0.23                   amzn2-core
python3-libs.x86_64             3.7.16-1.amzn2.0.23                   amzn2-core

Server: DFWS_Spark_DEV_QA_UAT_Lapine
Package/Update
ec2-hibinit-agent.noarch  1.0.10-2.amzn2                  amzn2-core
